customer_no,survey_id_2,datesubmit_2,sample2_2,sample3_2,countmisq1_2,countmisq2_2,q1ar_2,q1br_2,q1cr_2,q1dr_2,q1er_2,q1fr_2,q1gr_2,q1hr_2,q1ir_2,q1jr_2,q1kr_2,q2ar_2,q2br_2,q2cr_2,q2dr_2,q2er_2,q2fr_2,q2gr_2,q2hr_2,q2ir_2,q2jr_2,q2kr_2,q2lr_2,q1sum_2,q2sum_2,q1opera_sum,q1musical_sum,q1recital_sum,q2opera_sum,q2musical_sum,q2recital_sum,age3,q1category,q1opera,q1musical,q1recital,q1program_sum,q2opera,q2musical,q2recital,q2program_sum,misq1r_2
 ,88,2/6/17,1,1,11,8, , , , , , , , , , , ,0,0,0,0,1,1,1,0,0,0,1,0, ,4, , , ,0,2,1,2, ,0,0,0, ,0,1,1,3,11
403185,63,2/4/17,1,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,0,0,0,0,0,0,0,0,0
422680,10,2/4/17,1,1,11,7, , , , , , , , , , , ,1,0,0,0,0,1,0,1,1,0,1,0, ,5, , , ,1,1,2,2, ,0,0,0, ,1,1,1,4,11
446206,36,2/4/17,1,1,6,12,1,1,1,0,0,0,0,1,0,0,1, , , , , , , , , , , , ,5, ,3,0,1, , , ,1,5,1,0,1,3,0,0,0, ,0
470735,17,2/4/17,1,1,11,8, , , , , , , , , , , ,0,0,0,1,0,0,1,1,0,1,0,0, ,4, , , ,0,1,3, , ,0,0,0, ,0,1,1,2,11
473304,85,2/6/17,1,1,11,9, , , , , , , , , , , ,0,1,0,1,1,0,0,0,0,0,0,0, ,3, , , ,1,2,0,2, ,0,0,0, ,1,1,0,2,11
474676,59,2/4/17,1,1,8,12,1,0,0,0,0,1,0,0,0,0,1, , , , , , , , , , , , ,3, ,1,0,1, , , ,1,5,1,0,1,3,0,0,0, ,0
483787,56,2/4/17,1,1,11,9, , , , , , , , , , , ,1,0,0,1,0,0,1,0,0,0,0,0, ,3, , , ,1,1,1,3, ,0,0,0, ,1,1,1,3,11
495051,2,2/4/17,1,1,8,12,0,0,0,0,0,1,1,0,0,0,1, , , , , , , , , , , , ,3, ,0,0,2, , , ,3,5,0,0,1,2,0,0,0, ,0
513063,52,2/4/17,1,1,8,12,1,0,0,0,1,0,0,0,0,0,1, , , , , , , , , , , , ,3, ,1,1,0, , , ,1,5,1,1,0,3,0,0,0, ,0
515177,155,2/17/17,1,1,11,5, , , , , , , , , , , ,1,1,1,1,1,1,1,0,0,0,0,0, ,7, , , ,3,3,1,2, ,0,0,0, ,1,1,1,3,11
541320,28,2/4/17,1,1,8,12,0,0,1,0,0,1,0,1,0,0,0, , , , , , , , , , , , ,3, ,1,0,2, , , ,3,3,1,0,1,2,0,0,0, ,0
542808,91,2/6/17,1,1,4,12,1,1,1,0,1,1,1,1,0,0,0, , , , , , , , , , , , ,7, ,3,1,3, , , ,2,3,1,1,1,3,0,0,0, ,0
550209,137,2/13/17,1,1,7,12,1,0,0,1,1,0,1,0,0,0,0, , , , , , , , , , , , ,4, ,1,2,1, , , ,3,3,1,1,1,3,0,0,0, ,0
551254,99,2/7/17,1,1,0,12,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , ,11, ,3,2,4, , , ,2,5,1,1,1,5,0,0,0, ,0
560258,8,2/4/17,1,1,11,6, , , , , , , , , , , ,1,0,0,1,1,1,1,0,0,1,0,0, ,6, , , ,1,3,2,2, ,0,0,0, ,1,1,1,3,11
561600,26,2/4/17,1,1,11,10, , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,0,0, ,2, , , ,1,0,1,2, ,0,0,0, ,1,0,1,2,11
583879,83,2/5/17,1,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0
613702,39,2/4/17,1,1,11,8, , , , , , , , , , , ,1,0,1,0,0,0,1,1,0,0,0,0, ,4, , , ,2,0,2,1, ,0,0,0, ,1,0,1,2,11
618556,78,2/5/17,1,1,11,8, , , , , , , , , , , ,0,0,1,0,1,1,0,1,0,0,0,0, ,4, , , ,1,2,1,2, ,0,0,0, ,1,1,1,3,11
619162,124,2/13/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,1,1,0,0,0,0,0,0, ,3, , , ,0,3,0,1, ,0,0,0, ,0,1,0,1,11
619197,29,2/4/17,1,1,11,7, , , , , , , , , , , ,1,0,0,1,1,0,0,1,0,0,0,1, ,5, , , ,1,2,1,1, ,0,0,0, ,1,1,1,4,11
620886,116,2/9/17,1,1,7,12,0,0,1,0,0,1,0,0,1,0,1, , , , , , , , , , , , ,4, ,1,0,2, , , ,2,5,1,0,1,3,0,0,0, ,0
621376,144,2/14/17,1,1,11,5, , , , , , , , , , , ,1,0,1,0,0,1,1,1,0,1,0,1, ,7, , , ,2,1,3,1, ,0,0,0, ,1,1,1,4,11
622494,46,2/4/17,1,1,7,12,1,1,0,0,1,0,1,0,0,0,0, , , , , , , , , , , , ,4, ,2,1,1, , , ,2,3,1,1,1,3,0,0,0, ,0
628898,90,2/6/17,1,1,7,12,1,1,0,1,0,0,0,0,0,0,1, , , , , , , , , , , , ,4, ,2,1,0, , , ,1,5,1,1,0,3,0,0,0, ,0
632007,136,2/13/17,1,1,11,8, , , , , , , , , , , ,0,1,1,0,0,1,0,0,0,0,0,1, ,4, , , ,2,1,0,1, ,0,0,0, ,1,1,0,3,11
632276,64,2/4/17,1,1,11,9, , , , , , , , , , , ,0,1,0,1,0,0,1,0,0,0,0,0, ,3, , , ,1,1,1,1, ,0,0,0, ,1,1,1,3,11
633324,135,2/13/17,1,1,7,12,1,0,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , ,4, ,1,1,1, , , ,2,5,1,1,1,4,0,0,0, ,0
637310,19,2/4/17,1,1,11,10, , , , , , , , , , , ,1,0,0,0,0,0,0,1,0,0,0,0, ,2, , , ,1,0,1,3, ,0,0,0, ,1,0,1,2,11
637492,98,2/6/17,1,1,6,12,1,0,1,1,1,0,0,1,0,0,0, , , , , , , , , , , , ,5, ,2,2,1, , , ,2,3,1,1,1,3,0,0,0, ,0
638112,50,2/4/17,1,1,11,8, , , , , , , , , , , ,0,0,0,1,1,1,0,1,0,0,0,0, ,4, , , ,0,3,1,2, ,0,0,0, ,0,1,1,2,11
638807,87,2/6/17,1,1,11,8, , , , , , , , , , , ,1,1,0,0,0,0,1,1,0,0,0,0, ,4, , , ,2,0,2,3, ,0,0,0, ,1,0,1,2,11
699668,55,2/4/17,1,1,6,12,1,1,0,1,1,1,0,0,0,0,0, , , , , , , , , , , , ,5, ,2,2,1, , , ,1,3,1,1,1,3,0,0,0, ,0
706361,5,2/4/17,1,1,7,12,1,0,0,0,0,1,1,0,0,1,0, , , , , , , , , , , , ,4, ,1,0,2, , , ,3,4,1,0,1,3,0,0,0, ,0
707868,79,2/5/17,1,1,11,9, , , , , , , , , , , ,1,0,0,1,0,0,1,0,0,0,0,0, ,3, , , ,1,1,1,1, ,0,0,0, ,1,1,1,3,11
713516,62,2/4/17,1,1,0,12,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , ,11, ,3,2,4, , , ,3,5,1,1,1,5,0,0,0, ,0
713599,54,2/4/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,0,1,0,0,0,1,0,0, ,3, , , ,0,2,1,2, ,0,0,0, ,0,1,1,2,11
714506,9,2/4/17,1,1,11,9, , , , , , , , , , , ,1,0,0,1,0,0,1,0,0,0,0,0, ,3, , , ,1,1,1,3, ,0,0,0, ,1,1,1,3,11
716483,44,2/4/17,1,1,11,8, , , , , , , , , , , ,0,0,1,0,0,1,0,1,0,1,0,0, ,4, , , ,1,1,2,2, ,0,0,0, ,1,1,1,3,11
717104,121,2/13/17,1,1,11,8, , , , , , , , , , , ,1,1,0,1,0,1,0,0,0,0,0,0, ,4, , , ,2,2,0,3, ,0,0,0, ,1,1,0,2,11
717633,152,2/15/17,1,1,5,12,1,1,1,1,0,1,0,1,0,0,0, , , , , , , , , , , , ,6, ,3,1,2, , , ,1,3,1,1,1,3,0,0,0, ,0
717886,66,2/5/17,1,1,7,12,1,1,0,0,1,0,0,0,0,0,1, , , , , , , , , , , , ,4, ,2,1,0, , , ,1,5,1,1,0,3,0,0,0, ,0
718008,92,2/6/17,1,1,7,12,1,1,0,1,0,0,0,0,0,1,0, , , , , , , , , , , , ,4, ,2,1,0, , , ,3,4,1,1,0,3,0,0,0, ,0
718401,14,2/4/17,1,1,11,10, , , , , , , , , , , ,0,0,0,1,0,1,0,0,0,0,0,0, ,2, , , ,0,2,0,2, ,0,0,0, ,0,1,0,1,11
718644,140,2/13/17,1,1,9,12,0,0,0,1,1,0,0,0,0,0,0, , , , , , , , , , , , ,2, ,0,2,0, , , ,1,2,0,1,0,1,0,0,0, ,0
720582,110,2/7/17,1,1,11,10, , , , , , , , , , , ,0,0,0,1,1,0,0,0,0,0,0,0, ,2, , , ,0,2,0,2, ,0,0,0, ,0,1,0,1,11
720897,114,2/8/17,1,1,9,12,0,1,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , ,2, ,1,0,1, , , ,2,3,1,0,1,2,0,0,0, ,0
722815,1,2/4/17,1,1,11,5, , , , , , , , , , , ,1,1,1,0,0,0,1,0,1,0,1,1, ,7, , , ,3,0,2, , ,0,0,0, ,1,0,1,4,11
722815,120,2/13/17,1,1,7,12,0,0,1,0,0,1,0,1,0,1,0, , , , , , , , , , , , ,4, ,1,0,2, , , , ,4,1,0,1,3,0,0,0, ,0
728371,80,2/5/17,1,1,11,11, , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,0,0,0, ,1, , , ,0,1,0,3, ,0,0,0, ,0,1,0,1,11
729701,100,2/7/17,1,1,10,12,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , ,1, ,0,1,0, , , ,1,2,0,1,0,1,0,0,0, ,0
738354,24,2/4/17,1,1,11,11, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0, ,1, , , ,1,0,0, , ,0,0,0, ,1,0,0,1,11
739597,119,2/13/17,1,1,11,0, , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, ,12, , , ,3,3,4,1, ,0,0,0, ,1,1,1,5,11
741030,73,2/5/17,1,1,11,9, , , , , , , , , , , ,1,0,0,0,0,0,1,0,0,0,0,1, ,3, , , ,1,0,1,1, ,0,0,0, ,1,0,1,3,11
741698,25,2/4/17,1,1,8,12,0,0,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , ,3, ,0,1,1, , , ,1,5,0,1,1,3,0,0,0, ,0
744251,128,2/13/17,1,1,4,12,1,1,1,0,1,1,0,1,0,0,1, , , , , , , , , , , , ,7, ,3,1,2, , , ,1,5,1,1,1,4,0,0,0, ,0
745125,117,2/10/17,1,1,8,12,1,0,0,0,1,0,0,0,0,0,1, , , , , , , , , , , , ,3, ,1,1,0, , , ,1,5,1,1,0,3,0,0,0, ,0
746415,149,2/15/17,1,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,0,0,0,0,0,0,0,0,0
746664,111,2/7/17,1,1,11,10, , , , , , , , , , , ,0,0,0,1,0,1,0,0,0,0,0,0, ,2, , , ,0,2,0,2, ,0,0,0, ,0,1,0,1,11
747123,49,2/4/17,1,1,11,10, , , , , , , , , , , ,0,0,0,0,1,1,0,0,0,0,0,0, ,2, , , ,0,2,0,2, ,0,0,0, ,0,1,0,1,11
747472,107,2/7/17,1,1,11,5, , , , , , , , , , , ,0,1,1,1,0,1,1,0,0,0,1,1, ,7, , , ,2,2,1,2, ,0,0,0, ,1,1,1,5,11
748030,67,2/5/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,0,0,1,1,0,0,0,0, ,3, , , ,0,1,2,2, ,0,0,0, ,0,1,1,2,11
748518,150,2/15/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,0,0,1,0,0,0,0,1, ,3, , , ,0,1,1,2, ,0,0,0, ,0,1,1,3,11
750096,70,2/5/17,1,1,8,12,0,1,0,0,0,0,0,1,0,0,1, , , , , , , , , , , , ,3, ,1,0,1, , , ,3,5,1,0,1,3,0,0,0, ,0
750812,69,2/5/17,1,1,11,6, , , , , , , , , , , ,1,0,0,0,0,1,0,1,0,1,1,1, ,6, , , ,1,1,2,1, ,0,0,0, ,1,1,1,5,11
752468,23,2/4/17,1,1,8,12,1,0,1,0,1,0,0,0,0,0,0, , , , , , , , , , , , ,3, ,2,1,0, , , ,2,2,1,1,0,2,0,0,0, ,0
753025,84,2/5/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,1,1,0,0,0,0,0,0, ,3, , , ,0,3,0,3, ,0,0,0, ,0,1,0,1,11
753202,118,2/13/17,1,1,7,12,0,0,1,0,1,1,0,0,0,0,1, , , , , , , , , , , , ,4, ,1,1,1, , , ,1,5,1,1,1,4,0,0,0, ,0
753729,142,2/13/17,1,1,9,12,1,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , ,2, ,1,1,0, , , ,2,2,1,1,0,2,0,0,0, ,0
753984,97,2/6/17,1,1,8,12,1,1,0,1,0,0,0,0,0,0,0, , , , , , , , , , , , ,3, ,2,1,0, , , ,2,2,1,1,0,2,0,0,0, ,0
754090,154,2/16/17,1,1,11,8, , , , , , , , , , , ,1,0,0,0,0,0,1,1,0,1,0,0, ,4, , , ,1,0,3,1, ,0,0,0, ,1,0,1,2,11
754551,12,2/4/17,1,1,11,9, , , , , , , , , , , ,0,0,0,0,1,1,0,0,0,1,0,0, ,3, , , ,0,2,1,2, ,0,0,0, ,0,1,1,2,11
755840,4,2/4/17,1,1,11,5, , , , , , , , , , , ,1,0,1,1,0,0,1,1,0,1,0,1, ,7, , , ,2,1,3,3, ,0,0,0, ,1,1,1,4,11
756907,32,2/4/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,0,0,1,1,0,0,0,0, ,3, , , ,0,1,2,3, ,0,0,0, ,0,1,1,2,11
759125,31,2/4/17,1,1,6,12,0,1,0,1,1,0,0,0,1,0,1, , , , , , , , , , , , ,5, ,1,2,1, , , ,3,5,1,1,1,4,0,0,0, ,0
759619,22,2/4/17,1,1,11,9, , , , , , , , , , , ,1,0,0,1,0,1,0,0,0,0,0,0, ,3, , , ,1,2,0,1, ,0,0,0, ,1,1,0,2,11
765677,115,2/9/17,1,1,11,9, , , , , , , , , , , ,1,0,0,0,0,1,1,0,0,0,0,0, ,3, , , ,1,1,1,2, ,0,0,0, ,1,1,1,3,11
767308,61,2/4/17,1,1,11,10, , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0,0, ,2, , , ,1,1,0,2, ,0,0,0, ,1,1,0,2,11
767369,33,2/4/17,1,1,11,2, , , , , , , , , , , ,1,1,1,1,0,1,1,0,1,1,1,1, ,10, , , ,3,2,3,2, ,0,0,0, ,1,1,1,5,11
768793,43,2/4/17,1,1,8,12,1,1,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , ,3, ,2,0,0, , , , ,4,1,0,0,2,0,0,0, ,0
769298,15,2/4/17,1,1,11,7, , , , , , , , , , , ,1,0,0,1,1,1,1,0,0,0,0,0, ,5, , , ,1,3,1,2, ,0,0,0, ,1,1,1,3,11
770518,37,2/4/17,1,1,11,0, , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, ,12, , , ,3,3,4,2, ,0,0,0, ,1,1,1,5,11
770762,60,2/4/17,1,1,11,3, , , , , , , , , , , ,1,1,1,1,1,1,1,0,0,1,0,1, ,9, , , ,3,3,2,1, ,0,0,0, ,1,1,1,4,11
771303,57,2/4/17,1,1,7,12,1,0,0,1,1,0,0,0,0,0,1, , , , , , , , , , , , ,4, ,1,2,0, , , ,3,5,1,1,0,3,0,0,0, ,0
771526,53,2/4/17,1,1,11,10, , , , , , , , , , , ,0,1,0,0,0,0,0,0,0,0,0,1, ,2, , , ,1,0,0,2, ,0,0,0, ,1,0,0,2,11
774141,38,2/4/17,1,1,9,12,0,0,0,0,1,0,0,0,0,0,1, , , , , , , , , , , , ,2, ,0,1,0, , , ,3,5,0,1,0,2,0,0,0, ,0
776100,20,2/4/17,1,1,11,7, , , , , , , , , , , ,0,1,0,1,1,1,0,0,0,1,0,0, ,5, , , ,1,3,1,3, ,0,0,0, ,1,1,1,3,11
778118,77,2/5/17,1,1,11,8, , , , , , , , , , , ,1,0,0,1,0,0,1,1,0,0,0,0, ,4, , , ,1,1,2,3, ,0,0,0, ,1,1,1,3,11
778139,30,2/4/17,1,1,5,12,1,0,1,1,0,0,1,0,1,0,1, , , , , , , , , , , , ,6, ,2,1,2, , , ,2,5,1,1,1,4,0,0,0, ,0
